release,delay,final,reaction,invariant
rel,del,fin,rea,inv
true*,del,fin,rea,inv
false*,del,fin,rea,inv
false*,true*,fin,rea,inv
false*,false*,fin,rea,inv
false*,del,true*,rea,inv
false*,true*,true*,rea,inv
false*,false*,true*,rea,inv
false*,del,fin,true*,inv
false*,del,true*,true*,inv
false*,del,fin,rea,true*
false*,true*,fin,rea,true*
false*,false*,fin,rea,true*
false*,del,true*,rea,true*
false*,true*,true*,rea,true*
false*,false*,true*,rea,true*
false*,del,fin,true*,true*
false*,true*,fin,true*,true*
false*,false*,fin,true*,true*
false*,del,true*,true*,true*
false*,true*,true*,true*,true*
false*,false*,true*,true*,true*
false*,del,false*,true*,true*
false*,true*,false*,true*,true*
false*,false*,false*,true*,true*
false*,del,fin,rea,false*
false*,del,fin,true*,false*
false*,del,fin,false*,false*
false*,del,true*,rea,false*
false*,del,true*,true*,false*
false*,del,true*,false*,false*
false*,del,false*,rea,false*
false*,del,false*,true*,false*
false*,del,false*,false*,false*
false*,true*,fin,rea,false*
false*,true*,fin,true*,false*
false*,true*,fin,false*,false*
false*,true*,true*,rea,false*
false*,true*,true*,true*,false*
false*,true*,true*,false*,false*
false*,true*,false*,rea,false*
false*,true*,false*,true*,false*
false*,true*,false*,false*,false*
false*,false*,fin,rea,false*
false*,false*,fin,true*,false*
false*,false*,fin,false*,false*
false*,false*,true*,rea,false*
false*,false*,true*,true*,false*
false*,false*,true*,false*,false*
false*,false*,false*,rea,false*
false*,false*,false*,true*,false*
false*,false*,false*,false*,false*
rel,del,false*,rea,inv
rel,del,false*,true*,inv
rel,del,false*,false*,inv
rel,true*,false*,rea,inv
rel,true*,false*,true*,inv
rel,true*,false*,false*,inv
rel,false*,false*,rea,inv
rel,false*,false*,true*,inv
rel,false*,false*,false*,inv
true*,del,false*,rea,inv
true*,del,false*,rea,true*
true*,del,false*,rea,false*
true*,del,false*,true*,inv
true*,del,false*,true*,true*
true*,del,false*,true*,false*
true*,del,false*,false*,inv
true*,del,false*,false*,true*
true*,del,false*,false*,false*
true*,true*,false*,rea,inv
true*,true*,false*,rea,true*
true*,true*,false*,rea,false*
true*,true*,false*,true*,inv
true*,true*,false*,true*,true*
true*,true*,false*,true*,false*
true*,true*,false*,false*,inv
true*,true*,false*,false*,true*
true*,true*,false*,false*,false*
true*,false*,false*,rea,inv
true*,false*,false*,rea,true*
true*,false*,false*,rea,false*
true*,false*,false*,true*,inv
true*,false*,false*,true*,true*
true*,false*,false*,true*,false*
true*,false*,false*,false*,inv
true*,false*,false*,false*,true*
true*,false*,false*,false*,false*
false*,del,false*,rea,inv
false*,del,false*,true*,inv
false*,del,false*,false*,inv
false*,true*,false*,rea,inv
false*,true*,false*,true*,inv
false*,true*,false*,false*,inv
false*,false*,false*,rea,inv
false*,false*,false*,true*,inv
false*,false*,false*,false*,inv
false*,del,false*,rea,true*
false*,del,false*,false*,true*
false*,true*,false*,rea,true*
false*,true*,false*,false*,true*
false*,false*,false*,rea,true*
false*,false*,false*,false*,true*
rel,del,false*,rea,true*
rel,del,false*,true*,true*
rel,del,false*,false*,true*
rel,true*,false*,rea,true*
rel,true*,false*,true*,true*
rel,true*,false*,false*,true*
rel,false*,false*,rea,true*
rel,false*,false*,true*,true*
rel,false*,false*,false*,true*
rel,del,false*,rea,false*
rel,del,false*,true*,false*
rel,del,false*,false*,false*
rel,true*,false*,rea,false*
rel,true*,false*,true*,false*
rel,true*,false*,false*,false*
rel,false*,false*,rea,false*
rel,false*,false*,true*,false*
rel,false*,false*,false*,false*
rel,del,true*,rea,inv
rel,true*,true*,rea,inv
rel,false*,true*,rea,inv
rel,false*,true*,rea,true*
rel,false*,true*,rea,false*
rel,del,true*,true*,inv
rel,del,true*,true*,true*
rel,true*,true*,true*,inv
rel,true*,true*,true*,true*
rel,false*,true*,true*,inv
rel,false*,true*,true*,true*
false*,true*,true*,true*,inv
false*,false*,true*,true*,inv
true*,del,true*,true*,inv
true*,del,true*,true*,true*
true*,del,true*,true*,false*
true*,true*,true*,true*,inv
true*,true*,true*,true*,true*
true*,true*,true*,true*,false*
true*,false*,true*,true*,inv
true*,false*,true*,true*,true*
true*,false*,true*,true*,false*
rel,del,true*,true*,false*
rel,true*,true*,true*,false*
